id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
109,Amazing bright elegant condo park front *UPGRADED*,521,Paolo,Other Cities,Culver City,33.98301,-118.38607,Entire home/apt,115,30,2,2016-05-15,0.02,1,193,0,
2708,Runyon Canyon | Beau Furn Mirror Mini-Suite Firplc,3008,Chas.,City of Los Angeles,Hollywood,34.09625,-118.34605,Private room,89,30,33,2021-11-01,0.70,2,300,6,
2732,Zen Life at the Beach,3041,Yoga Priestess,Other Cities,Santa Monica,34.0044,-118.48095,Private room,167,7,21,2019-12-27,0.36,2,357,0,228269
2864,* Beautiful Master Suite/Jacuzzi Tub/*,3207,Bernadine,Other Cities,Bellflower,33.8749,-118.11515,Entire home/apt,50,30,0,,,1,0,0,
3021,Hollywood Hills Zen Modern style Apt/Guesthouse,3415,Nataraj,City of Los Angeles,Hollywood Hills West,34.1116,-118.38223,Entire home/apt,118,31,23,2018-10-31,0.39,4,274,0,
5728,Tiny Home in Artistic Oasis near Venice and LAX,9171,Sanni,City of Los Angeles,Del Rey,33.9875,-118.432,Private room,50,30,312,2021-08-31,4.32,4,147,2,HSR19-002149
5729,Zen Room with Floating Bed near Venice and LAX,9171,Sanni,City of Los Angeles,Del Rey,33.9875,-118.432,Private room,65,30,232,2021-06-16,4.56,4,151,2,HSR19-002149
5843,Artist Oasis near Venice Beach w/ Beautiful Garden,9171,Sanni,City of Los Angeles,Del Rey,33.9875,-118.432,Entire home/apt,130,30,128,2020-08-22,1.01,4,0,0,HSR19-002149
6931,Run Runyon | Beau Furn Rm Dres Rm/Walk-In Clst Ter,3008,Chas.,City of Los Angeles,Hollywood,34.0949,-118.34766,Private room,109,30,29,2021-09-18,1.08,2,287,7,
7992,"Quiet,Walkable Area/Sanitized/CozySpot",22363,Tom,City of Los Angeles,Atwater Village,34.11364,-118.26068,Entire home/apt,121,1,246,2021-07-09,3.92,2,45,5,HSR19-003514
9140,City Place Lofts,28350,Wendell,Other Cities,Long Beach,33.77202,-118.18852,Private room,80,31,393,2019-11-25,4.54,1,0,0,
9376,"Bright Apt, walk to Venice Beach",30319,Cristina,City of Los Angeles,Venice,33.99782,-118.47698,Private room,85,30,50,2021-07-18,0.34,2,347,3,
10760,CASAMIGOS,38596,Debra,City of Los Angeles,Mid-Wilshire,34.0546,-118.35495,Private room,74,30,45,2015-08-22,0.36,1,87,0,
11374,1 King Bed Room - Hotel Sea Rock Inn - Los Angeles,42220,Searockinn,Other Cities,Gardena,33.90507,-118.29217,Private room,88,1,56,2021-10-23,56,11,354,20,
11511,Craftsman Duplex-Hollywood!,40884,Suzan And Michael,City of Los Angeles,Hollywood Hills,34.11408,-118.32234,Entire home/apt,195,30,7,2015-08-13,0.05,2,305,0,
11877,Le petit bungalow private entrance + bikes in VB,30484,Pascalou,City of Los Angeles,Venice,33.99573,-118.47216,Entire home/apt,95,30,46,2021-06-01,0.48,2,63,1,
12320,1930's Spanish Duplex on 9th St,47757,Lori,City of Los Angeles,Mid-Wilshire,34.05882,-118.34272,Entire home/apt,155,30,10,2020-01-20,0.25,1,30,0,
13776,Burnham Beach Cottage 1,31306,Wendy,Other Cities,Redondo Beach,33.83931,-118.38638,Entire home/apt,165,2,196,2021-10-11,1.93,3,309,23,
14098,"Glamour Calls Us A Haven of Peace, Modern Architectural Zen Hollywood Hills",55411,HankBubbie,City of Los Angeles,Hollywood Hills,34.11834,-118.31997,Entire home/apt,306,5,33,2021-09-21,0.41,9,57,6,HSR19-003021
14124,Burnham Beach Cottage 2,31306,Wendy,Other Cities,Redondo Beach,33.83931,-118.38638,Entire home/apt,170,2,168,2021-07-08,1.50,3,330,6,
15089,*****Modern & Chic Spanish Bungalow @ Casa Redondo,59169,Josh,City of Los Angeles,Mid-City,34.04244,-118.3522,Entire home/apt,149,3,69,2021-10-23,0.75,3,330,6,HSR19-000600
15333,The Enchanted Manor-Private Oasis,60057,Georgia,City of Los Angeles,Valley Village,34.16497,-118.41157,Private room,495,2,7,2021-10-23,0.13,2,339,3,HSR19-000906
18041,Bohemian home w/detached Studio & Rooftop Jacuzzi,69546,Lisa,City of Los Angeles,Venice,33.99179,-118.45056,Entire home/apt,282,30,3,2020-08-27,0.15,3,0,0,HSR19-004534
